交易日期,动作,成交价,成交股数,成交金额,交易后现金,交易后持仓股数,已实现盈亏,交易原因
2024-11-22,买入,26.107000,700,18274.90,81725.10,700,0.00,首次冲刺后A杀回调并横盘约1个月后打底仓
2025-06-27,卖出,29.277000,700,20493.90,102219.00,0,2219.00,第二轮持续上行约两个月后执行止盈卖出
2026-01-29,买入,25.820000,1500,38730.00,63489.00,1500,0.00,回调约6-7个月形成大碗底蓄水后再次买入

收益统计
初始本金,估值日期,最新收盘价,现金,持仓股数,持仓市值,总资产,已实现盈亏,未实现盈亏,收益率
100000.00,2026-03-06,27.140000,63489.00,1500,40710.00,104199.00,2219.00,1980.00,4.20%
